gender,TenureGroup,MCGroup,TCGroup,Churned
Male,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Female,0,0,0,1
Female,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Female,0,0,0,1
Female,0,0,0,1
Male,0,0,0,0
Male,0,0,0,1
Female,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,1
Male,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Female,0,0,0,1
Male,0,0,0,0
Male,0,0,0,1
Male,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Female,0,0,0,1
Male,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Female,0,0,0,1
Female,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Male,0,0,0,1
Female,0,0,0,0
Female,0,0,0,1
Female,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Male,0,0,0,1
Female,0,0,0,1
Female,0,0,0,0
Male,0,0,0,0
Female,0,0,0,1
Male,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Female,0,0,0,1
Female,0,0,0,1
Male,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Male,0,0,0,1
Female,0,0,0,0
Female,0,0,0,1
Female,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Male,0,0,0,1
Female,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,1
Female,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Female,0,0,0,1
Male,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,1
Female,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Female,0,0,0,1
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Female,0,0,0,1
Male,0,0,0,1
Female,0,0,0,0
Female,0,0,0,1
Female,0,0,0,1
Male,0,0,0,1
Female,0,0,0,0
Male,0,0,0,1
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,1
Male,0,0,0,1
Female,0,0,0,0
Male,0,0,0,1
